time,open,high,low,close,volume,symbol,target_date
2026-09-07 07:00:00,77.2,79.9,77.2,78.0,2600,VEF,2026-09-07
2026-09-07 07:00:00,43.15,44.05,43.15,43.75,2300,VFG,2026-09-07
2026-09-07 07:00:00,50.0,50.0,50.0,50.0,100,VGV,2026-09-07
2026-09-07 07:00:00,52.8,53.0,52.2,52.3,287800,VHC,2026-09-07
2026-09-07 07:00:00,10.7,10.7,10.7,10.7,100,VHL,2026-09-07
2026-09-07 07:00:00,76.4,79.5,74.5,74.5,11741100,VHM,2026-09-07
2026-09-07 07:00:00,4.1,4.1,4.0,4.1,48700,VIG,2026-09-07
2026-09-07 07:00:00,16.8,16.8,16.8,16.8,100,VIN,2026-09-07
2026-09-07 07:00:00,124.7,126.5,123.8,125.0,1286900,VJC,2026-09-07
2026-09-07 07:00:00,47.7,47.9,47.5,47.9,19300,VLB,2026-09-07
2026-09-07 07:00:00,12.0,12.0,11.8,11.8,43300,VLC,2026-09-07
2026-09-07 07:00:00,10.1,10.8,10.1,10.8,9100,VLS,2026-09-07
2026-09-07 07:00:00,13.85,13.85,13.85,13.85,200,VMD,2026-09-07
2026-09-07 07:00:00,5.76,6.08,5.76,6.08,1200,VNG,2026-09-07
2026-09-07 07:00:00,4.6,4.6,4.5,4.5,200,VNI,2026-09-07
2026-09-07 07:00:00,18.75,18.8,18.75,18.8,3600,VNL,2026-09-07
2026-09-07 07:00:00,17.6,17.9,17.5,17.5,24900,VNP,2026-09-07
2026-09-07 07:00:00,18.1,18.1,17.8,17.8,70300,VNR,2026-09-07
2026-09-07 07:00:00,11.25,11.3,11.05,11.1,311000,VOS,2026-09-07
2026-09-07 07:00:00,1.72,1.74,1.7,1.72,217600,VPG,2026-09-07
2026-09-07 07:00:00,3.01,3.05,2.98,2.99,52100,VPH,2026-09-07
2026-09-07 07:00:00,25.5,25.5,24.75,24.75,762100,VPX,2026-09-07
2026-09-07 07:00:00,26.5,27.95,26.5,27.0,11633600,VRE,2026-09-07
2026-09-07 07:00:00,13.8,13.8,13.8,13.8,1000,VRG,2026-09-07
2026-09-07 07:00:00,26.1,26.2,26.0,26.1,13200,VSF,2026-09-07
2026-09-07 07:00:00,41.3,41.3,41.2,41.3,3000,VSH,2026-09-07
2026-09-07 07:00:00,4.6,4.6,4.4,4.5,32700,VTD,2026-09-07
2026-09-07 07:00:00,91.6,92.4,88.0,89.0,136200,VVS,2026-09-07
2026-09-07 07:00:00,10.7,10.7,10.6,10.7,400,X20,2026-09-07
2026-09-07 07:00:00,8.6,9.1,8.6,9.1,400,XMC,2026-09-07
2026-09-07 07:00:00,14.2,14.2,14.0,14.0,1100,XPH,2026-09-07
