time,open,high,low,close,volume,symbol,target_date
2026-06-10 07:00:00,12.8,12.8,12.15,12.15,3000,ABR,2026-06-10
2026-06-10 07:00:00,54.8,55.8,54.8,55.5,19000,ABT,2026-06-10
2026-06-10 07:00:00,26.5,27.05,26.15,26.5,38019700,ACB,2026-06-10
2026-06-10 07:00:00,12.1,12.4,12.05,12.4,4900,ACC,2026-06-10
2026-06-10 07:00:00,12.4,12.45,12.4,12.45,1200,ACL,2026-06-10
2026-06-10 07:00:00,43.5,43.7,43.4,43.7,286200,ACV,2026-06-10
2026-06-10 07:00:00,10.2,10.25,10.05,10.25,46900,AFX,2026-06-10
2026-06-10 07:00:00,10.5,10.6,10.4,10.6,9000,AG1,2026-06-10
2026-06-10 07:00:00,11.6,11.8,11.55,11.8,226400,AGG,2026-06-10
2026-06-10 07:00:00,34.2,34.3,34.0,34.0,1500,AGP,2026-06-10
2026-06-10 07:00:00,180.0,218.0,180.0,200.0,1400,AGX,2026-06-10
2026-06-10 07:00:00,6.8,6.9,6.8,6.9,8300,ALV,2026-06-10
2026-06-10 07:00:00,26.25,26.25,25.0,25.8,4300,ANT,2026-06-10
2026-06-10 07:00:00,20.4,20.65,20.35,20.65,245000,ANV,2026-06-10
2026-06-10 07:00:00,44.0,44.8,43.8,44.8,10000,APF,2026-06-10
2026-06-10 07:00:00,4.24,4.53,4.24,4.53,186300,APG,2026-06-10
2026-06-10 07:00:00,4.2,4.2,4.0,4.0,2300,APP,2026-06-10
2026-06-10 07:00:00,5.77,5.84,5.76,5.79,343400,ASM,2026-06-10
2026-06-10 07:00:00,9.2,9.2,8.9,9.1,12400,AVG,2026-06-10
2026-06-10 07:00:00,11.2,11.3,11.2,11.3,26400,BAB,2026-06-10
2026-06-10 07:00:00,34.75,34.75,34.3,34.65,1785900,BAF,2026-06-10
2026-06-10 07:00:00,10.3,10.3,10.3,10.3,100,BBS,2026-06-10
2026-06-10 07:00:00,18.2,21.2,17.8,18.8,9200,BCA,2026-06-10
2026-06-10 07:00:00,52.9,53.3,52.5,52.7,286900,BCM,2026-06-10
2026-06-10 07:00:00,9.3,9.3,9.3,9.3,100,BCP,2026-06-10
2026-06-10 07:00:00,29.15,29.65,29.15,29.65,300,BHN,2026-06-10
2026-06-10 07:00:00,7.0,7.0,7.0,7.0,500,BHP,2026-06-10
2026-06-10 07:00:00,8.1,8.3,8.1,8.3,12600,BLI,2026-06-10
2026-06-10 07:00:00,20.2,20.2,20.2,20.2,400,BLT,2026-06-10
2026-06-10 07:00:00,10.4,10.7,10.4,10.7,800,BMJ,2026-06-10
2026-06-10 07:00:00,14.5,14.8,14.5,14.8,169400,BMS,2026-06-10
2026-06-10 07:00:00,16.5,16.5,16.5,16.5,100,BNW,2026-06-10
2026-06-10 07:00:00,2.7,2.7,2.5,2.5,300,BTN,2026-06-10
2026-06-10 07:00:00,8.31,8.35,8.29,8.34,58100,BTP,2026-06-10
2026-06-10 07:00:00,5.0,5.1,5.0,5.1,2600,BTS,2026-06-10
2026-06-10 07:00:00,13.0,14.0,12.9,12.9,1600,BVL,2026-06-10
2026-06-10 07:00:00,25.4,25.5,25.1,25.2,129800,BVS,2026-06-10
2026-06-10 07:00:00,19.0,19.0,19.0,19.0,500,CCI,2026-06-10
2026-06-10 07:00:00,14.7,14.7,14.7,14.7,2100,CCR,2026-06-10
2026-06-10 07:00:00,28.5,28.6,28.5,28.5,4500,CDN,2026-06-10
2026-06-10 07:00:00,12.6,12.6,12.3,12.3,4100,CDP,2026-06-10
2026-06-10 07:00:00,9.7,9.7,9.7,9.7,100,CIA,2026-06-10
2026-06-10 07:00:00,24.8,27.2,23.7,23.7,500,CKD,2026-06-10
2026-06-10 07:00:00,26.5,26.8,26.3,26.4,28200,CLI,2026-06-10
2026-06-10 07:00:00,14.6,14.7,14.5,14.5,138400,CLX,2026-06-10
2026-06-10 07:00:00,19.4,19.4,19.4,19.4,100,CMM,2026-06-10
2026-06-10 07:00:00,27.2,27.47,26.8,27.4,30800,CMN,2026-06-10
2026-06-10 07:00:00,31.3,31.4,31.3,31.4,14600,CQN,2026-06-10
