time,open,high,low,close,volume,symbol,target_date
2026-09-08 07:00:00,10.9,10.9,10.9,10.9,100,ABR,2026-09-08
2026-09-08 07:00:00,50.1,50.3,50.1,50.3,1500,ABT,2026-09-08
2026-09-08 07:00:00,22.3,22.35,22.2,22.3,2754600,ACB,2026-09-08
2026-09-08 07:00:00,4.45,4.59,4.4,4.51,194400,ACC,2026-09-08
2026-09-08 07:00:00,11.5,12.0,11.5,12.0,500,ACL,2026-09-08
2026-09-08 07:00:00,40.5,40.5,40.0,40.2,369000,ACV,2026-09-08
2026-09-08 07:00:00,10.05,10.15,9.98,10.0,106700,AFX,2026-09-08
2026-09-08 07:00:00,11.6,11.6,11.6,11.6,1500,AG1,2026-09-08
2026-09-08 07:00:00,10.5,10.5,10.35,10.35,265800,AGG,2026-09-08
2026-09-08 07:00:00,28.0,28.3,28.0,28.2,2300,AGP,2026-09-08
2026-09-08 07:00:00,6.7,6.7,6.5,6.5,2700,ALV,2026-09-08
2026-09-08 07:00:00,18.6,18.9,18.5,18.6,12900,ANT,2026-09-08
2026-09-08 07:00:00,16.55,16.75,16.3,16.3,356100,ANV,2026-09-08
2026-09-08 07:00:00,44.9,44.9,44.6,44.7,9100,APF,2026-09-08
2026-09-08 07:00:00,4.83,4.92,4.82,4.82,119000,APG,2026-09-08
2026-09-08 07:00:00,4.2,4.2,3.9,3.9,2200,APP,2026-09-08
2026-09-08 07:00:00,5.45,5.47,5.35,5.35,373600,ASM,2026-09-08
2026-09-08 07:00:00,39.8,39.8,39.6,39.6,400,AVC,2026-09-08
2026-09-08 07:00:00,8.1,8.2,7.8,8.0,3900,AVG,2026-09-08
2026-09-08 07:00:00,10.7,10.9,10.7,10.8,2500,BAB,2026-09-08
2026-09-08 07:00:00,32.0,32.15,31.85,32.1,1131800,BAF,2026-09-08
2026-09-08 07:00:00,9.7,9.7,9.7,9.7,100,BBH,2026-09-08
2026-09-08 07:00:00,20.4,20.4,20.4,20.4,300,BCA,2026-09-08
2026-09-08 07:00:00,42.95,42.95,42.15,42.4,435200,BCM,2026-09-08
2026-09-08 07:00:00,31.4,31.4,31.4,31.4,500,BHN,2026-09-08
2026-09-08 07:00:00,10.4,10.4,9.0,9.0,700,BHP,2026-09-08
2026-09-08 07:00:00,8.3,8.3,8.3,8.3,10800,BLI,2026-09-08
2026-09-08 07:00:00,13.2,13.2,13.1,13.2,104800,BMS,2026-09-08
2026-09-08 07:00:00,3.5,3.5,3.5,3.5,2300,BMV,2026-09-08
2026-09-08 07:00:00,12.0,12.0,12.0,12.0,2000,BT1,2026-09-08
2026-09-08 07:00:00,7.4,7.4,7.35,7.35,5800,BTP,2026-09-08
2026-09-08 07:00:00,12.7,13.5,10.8,13.5,2500,BVL,2026-09-08
2026-09-08 07:00:00,28.0,28.9,27.9,28.2,699500,BVS,2026-09-08
2026-09-08 07:00:00,9.7,9.7,9.7,9.7,100,BWA,2026-09-08
2026-09-08 07:00:00,16.5,16.5,16.5,16.5,100,CCI,2026-09-08
2026-09-08 07:00:00,14.3,14.3,14.3,14.3,200,CCR,2026-09-08
2026-09-08 07:00:00,25.5,25.5,25.5,25.5,700,CDN,2026-09-08
2026-09-08 07:00:00,10.8,10.8,10.8,10.8,300,CDP,2026-09-08
2026-09-08 07:00:00,9.3,9.3,9.1,9.3,8000,CIA,2026-09-08
2026-09-08 07:00:00,7.2,7.2,7.1,7.2,1600,CID,2026-09-08
2026-09-08 07:00:00,27.5,27.6,27.2,27.4,44300,CLI,2026-09-08
2026-09-08 07:00:00,56.0,56.0,56.0,56.0,2400,CLM,2026-09-08
2026-09-08 07:00:00,13.0,13.0,13.0,13.0,26800,CLX,2026-09-08
2026-09-08 07:00:00,16.7,16.8,16.5,16.6,3900,CMN,2026-09-08
